"Rank","Film Title","Director","Year"
"=243", "Annie Hall", "Woody Allen", "1977"
"=243", "The Quince Tree Sun", "Víctor Erice", "1992"
"=243", "Distant Voices, Still Lives", "Terence Davies", "1988"
"=243", "A Clockwork Orange", "Stanley Kubrick", "1971"
"=243", "Mouchette", "Robert Bresson", "1966"
"=243", "Sullivan’s Travels", "Preston Sturges", "1941"
"=243", "In Vanda’s Room", "Pedro Costa", "2000"
"=243", "Nostalgia for the Light", "Patricio Guzmán", "2010"
"=243", "Earth", "Alexander Dovzhenko", "1930"
"=243", "A Canterbury Tale", "Michael Powell & Emeric Pressburger", "1944"
"=243", "Soleil Ô", "Med Hondo", "1970"
"=243", "Morvern Callar", "Lynne Ramsay", "2001"
"=243", "Born in Flames", "Lizzie Borden", "1983"
"=243", "My Darling Clementine", "John Ford", "1946"
"=243", "Pandora’s Box", "G.W. Pabst", "1928"
"=243", "The Last Laugh", "F.W. Murnau", "1924"
"=243", "Videodrome", "David Cronenberg", "1983"
"=243", "The Intruder", "Claire Denis", "2004"
"=243", "Werckmeister Harmonies", "Béla Tarr & Ágnes Hranitzky", "2000"
"=243", "Syndromes and a Century", "Apichatpong Weerasethakul", "2006"
"=243", "Possession", "Andrzej Żuławski", "1981"
"=243", "Taste of Cherry", "Abbas Kiarostami", "1997"
"=225", "Happy Together", "Wong Kar Wai", "1997"
"=225", "Europa ’51", "Roberto Rossellini", "1952"
"=225", "The Hour of the Furnaces", "Octavio Getino & Fernando Solanas", "1968"
"=225", "The Crowd", "King Vidor", "1928"
"=225", "A Touch of Zen", "King Hu", "1969"
"=225", "As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty", "Jonas Mekas", "2000"
"=225", "Grave of the Fireflies", "Takahata Isao", "1988"
"=225", "Cries and Whispers", "Ingmar Bergman", "1972"
"=225", "Flowers of Shanghai", "Hou Hsiao-hsien", "1998"
"=225", "Star Wars", "George Lucas", "1977"
"=225", "The Green Ray", "Éric Rohmer", "1986"
"=225", "Blue", "Derek Jarman", "1993"
"=225", "Crash", "David Cronenberg", "1996"
"=225", "Intolerance", "D.W. Griffith", "1916"
"=225", "Je tu il elle", "Chantal Akerman", "1974"
"=225", "Petite maman", "Céline Sciamma", "2021"
"=225", "Harlan County USA", "Barbara Kopple", "1976"
"=225", "Napoléon", "Abel Gance", "1927"
"=211", "Raiders of the Lost Ark", "Steven Spielberg", "1981"
"=211", "In a Lonely Place", "Nicholas Ray", "1950"
"=211", "The Deer Hunter", "Michael Cimino", "1978"
"=211", "Limite", "Mário Peixoto", "1931"
"=211", "Duck Soup", "Leo McCarey", "1933"
"=211", "Melancholia", "Lars von Trier", "2011"
"=211", "All about Eve", "Joseph L. Mankiewicz", "1950"
"=211", "Pink Flamingos", "John Waters", "1972"
"=211", "Army of Shadows", "Jean-Pierre Melville", "1969"
"=211", "Twenty Years Later", "Eduardo Coutinho", "1984"
"=211", "Twin Peaks: Fire Walk With Me", "David Lynch", "1992"
"=211", "Brief Encounter", "David Lean", "1945"
"=211", "Suspiria", "Dario Argento", "1977"
"=211", "By the Bluest of Seas", "Boris Barnet", "1935"
"=196", "The Tree of Life", "Terrence Malick", "2010"
"=196", "Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb", "Stanley Kubrick", "1963"
"=196", "one way or another", "Sara Gómez", "1977"
"=196", "PaisÀ", "Roberto Rossellini", "1946"
"=196", "L’eclisse", "Michelangelo Antonioni", "1962"
"=196", "Wavelength", "Michael Snow", "1967"
"=196", "The Life and Death of Colonel Blimp", "Michael Powell & Emeric Pressburger", "1943"
"=196", "I Know Where I’m Going!", "Michael Powell & Emeric Pressburger", "1945"
"=196", "Zama", "Lucrecia Martel", "2017"
"=196", "The Headless Woman", "Lucrecia Martel", "2008"
"=196", "Paris Is Burning", "Jennie Livingston", "1990"
"=196", "Mad Max: Fury Road", "George Miller", "2015"
"=196", "Nosferatu", "F.W. Murnau", "1922"
"=196", "Double Indemnity", "Billy Wilder", "1944"
"=196", "Uncle Boonmee Who Can Recall His Past Lives", "Apichatpong Weerasethakul", "2010"
"=185", "An Autumn Afternoon", "Ozu Yasujirō", "1962"
"=185", "Paris, Texas", "Wim Wenders", "1984"
"=185", "Wings of Desire", "Wim Wenders", "1987"
"=185", "Magnolia", "Paul Thomas Anderson", "1999"
"=185", "Love Streams", "John Cassavetes", "1984"
"=185", "The River", "Jean Renoir", "1951"
"=185", "Les Demoiselles de Rochefort", "Jacques Demy", "1967"
"=185", "Pyaasa", "Guru Dutt", "1957"
"=185", "Greed", "Erich von Stroheim", "1923"
"=185", "The Birds", "Alfred Hitchcock", "1963"
"=185", "Ran", "Kurosawa Akira", "1985"
"=169", "Symbiopsychotaxiplasm: Take One", "William Greaves", "1967"
"=169", "Memories of Underdevelopment", "Tomás Gutiérrez Alea", "1968"
"=169", "The Good, the Bad and the Ugly", "Sergio Leone", "1966"
"=169", "Charulata", "Satyajit Ray", "1964"
"=169", "L’Argent", "Robert Bresson", "1983"
"=169", "The Magnificent Ambersons", "Orson Welles", "1942"
"=169", "Red Desert", "Michelangelo Antonioni", "1964"
"=169", "Black Narcissus", "Michael Powell & Emeric Pressburger", "1947"
"=169", "Heat", "Michael Mann", "1995"
"=169", "Letter from an Unknown Woman", "Max Ophüls", "1948"
"=169", "Un chien andalou", "Luis Buñuel", "1928"
"=169", "The Exterminating Angel", "Luis Buñuel", "1962"
"=169", "Under the Skin", "Jonathan Glazer", "2013"
"=169", "Out 1", "Jacques Rivette & Suzanne Schiffman", "1990"
"=169", "Hiroshima mon amour", "Alain Resnais", "1959"
"=169", "Last Year at Marienbad", "Alain Resnais", "1961"
"=157", "Once Upon a Time in America", "Sergio Leone", "1983"
"=157", "Orlando", "Sally Potter", "1992"
"=157", "The Gospel According to St. Matthew", "Pier Paolo Pasolini", "1964"
"=157", "All About My Mother", "Pedro Almodóvar", "1999"
"=157", "Los Olvidados", "Luis Buñuel", "1950"
"=157", "Vivre sa vie", "Jean-Luc Godard", "1962"
"=157", "Out of the Past", "Jacques Tourneur", "1947"
"=157", "A City of Sadness", "Hou Hsiao-Hsien", "1989"
"=157", "Amarcord", "Federico Fellini", "1972"
"=157", "West of the Tracks", "Bing Wang", "2002"
"=157", "Ikiru", "Kurosawa Akira", "1952"
"=157", "Where is the Friend’s House?", "Abbas Kiarostami", "1987"
"=152", "Days of Heaven", "Terrence Malick", "1978"
"=152", "The Cloud-Capped Star", "Ritwik Ghatak", "1960"
"=152", "West Indies: The Fugitive Slaves of Liberty", "Med Hondo", "1979"
"=152", "Twin Peaks: The Return", "David Lynch", "2018"
"=152", "Le Bonheur", "Agnès Varda", "1965"
"=146", "Chinatown", "Roman Polanski", "1974"
"=146", "Alien", "Ridley Scott", "1979"
"=146", "India Song", "Marguerite Duras", "1975"
"=146", "La Grande Illusion", "Jean Renoir", "1937"
"=146", "The Watermelon Woman", "Cheryl Dunye", "1997"
"=146", "Vampyr", "Carl Theodor Dreyer", "1932"
"=136", "Sambizanga", "Sarah Maldoror", "1972"
"=136", "The Wild Bunch", "Sam Peckinpah", "1969"
"=136", "Pickpocket", "Robert Bresson", "1959"
"=136", "Les Enfants du paradis", "Marcel Carné", "1945"
"=136", "La ciénaga", "Lucrecia Martel", "2001"
"=136", "Partie de campagne", "Jean Renoir", "1936"
"=136", "The Seventh Seal", "Ingmar Bergman", "1957"
"=136", "Trouble in Paradise", "Ernst Lubitsch", "1932"
"=136", "All That Heaven Allows", "Douglas Sirk", "1955"
"=136", "Gertrud", "Carl Theodor Dreyer", "1964"
"=133", "It’s a Wonderful Life", "Frank Capra", "1947"
"=133", "Lawrence of Arabia", "David Lean", "1962"
"=133", "Notorious", "Alfred Hitchcock", "1946"
"=129", "Pulp Fiction", "Quentin Tarantino", "1994"
"=129", "Raging Bull", "Martin Scorsese", "1980"
"=129", "Fanny and Alexander", "Ingmar Bergman", "1982"
"=129", "His Girl Friday", "Howard Hawks", "1939"
"128", "The Ascent", "Larisa Shepitko", "1976"
"=122", "The Matrix", "The Wachowskis", "1999"
"=122", "The Colour of Pomegranates", "Sergei Parajanov", "1968"
"=122", "There Will Be Blood", "Paul Thomas Anderson", "2007"
"=122", "Johnny Guitar", "Nicholas Ray", "1954"
"=122", "The Umbrellas of Cherbourg", "Jacques Demy", "1964"
"=122", "Only Angels Have Wings", "Howard Hawks", "1939"
"=118", "Aguirre, Wrath of God", "Werner Herzog", "1972"
"=118", "The Texas Chain Saw Massacre", "Tobe Hooper", "1974"
"=118", "The Thing", "John Carpenter", "1982"
"=118", "The Conformist", "Bernardo Bertolucci", "1970"
"=114", "Nashville", "Robert Altman", "1975"
"=114", "Don’t Look Now", "Nicolas Roeg", "1973"
"=114", "A Woman Under the Influence", "John Cassavetes", "1974"
"=114", "To Be or Not to Be", "Ernst Lubitsch", "1942"
"=108", "The Wizard of Oz", "Victor Fleming", "1939"
"=108", "Goodbye, Dragon Inn", "Tsai Ming-liang", "2003"
"=108", "Touch of Evil", "Orson Welles", "1958"
"=108", "The Man Who Shot Liberty Valance", "John Ford", "1962"
"=108", "Wild Strawberries", "Ingmar Bergman", "1957"
"=108", "Bringing Up Baby", "Howard Hawks", "1938"
"=104", "Jaws", "Steven Spielberg", "1975"
"=104", "La Maman et la Putain", "Jean Eustache", "1973"
"=104", "The Godfather Part II", "Francis Ford Coppola", "1974"
"=104", "Come and See", "Elem Klimov", "1985"
"=101", "Rio Bravo", "Howard Hawks", "1958"
"=101", "The House Is Black", "Forugh Farrokhzad", "1962"
"=101", "Vagabond", "Agnès Varda", "1985"
"=95", "Once Upon a Time in the West", "Sergio Leone", "1968"
"=95", "A Man Escaped", "Robert Bresson", "1956"
"=95", "Black Girl", "Ousmane Sembène", "1965"
"=95", "Get Out", "Jordan Peele", "2017"
"=95", "The General", "Buster Keaton", "1926"
"=95", "Tropical Malady", "Apichatpong Weerasethakul", "2004"
"=90", "Madame de...", "Max Ophüls", "1953"
"=90", "The Leopard", "Luchino Visconti", "1962"
"=90", "Ugetsu Monogatari", "Mizoguchi Kenji", "1953"
"=90", "Yi Yi", "Edward Yang", "1999"
"=90", "Parasite", "Bong Joon-ho", "2019"
"=88", "Chungking Express", "Wong Kar-wai", "1994"
"=88", "The Shining", "Stanley Kubrick", "1980"
"=84", "The Spirit of the Beehive", "Víctor Erice", "1973"
"=84", "Histoire(s) du cinéma", "Jean-Luc Godard", "1988"
"=84", "Pierrot le Fou", "Jean-Luc Godard", "1965"
"=84", "Blue Velvet", "David Lynch", "1986"
"=78", "A Matter of Life and Death", "Michael Powell & Emeric Pressburger", "1946"
"=78", "Céline and Julie Go Boating", "Jacques Rivette", "1974"
"=78", "A Brighter Summer Day", "Edward Yang", "1991"
"=78", "Modern Times", "Charles Chaplin", "1936"
"=78", "Sunset Blvd.", "Billy Wilder", "1950"
"=78", "Sátántangó", "Béla Tarr", "1994"
"=75", "Sansho the Bailiff", "Mizoguchi Kenji", "1954"
"=75", "Spirited Away", "Miyazaki Hayao", "2001"
"=75", "Imitation of Life", "Douglas Sirk", "1959"
"=72", "Journey to Italy", "Roberto Rossellini", "1954"
"=72", "L’avventura", "Michelangelo Antonioni", "1960"
"=72", "My Neighbour Totoro", "Miyazaki Hayao", "1988"
"=67", "The Red Shoes", "Michael Powell & Emeric Pressburger", "1948"
"=67", "Metropolis", "Fritz Lang", "1927"
"=67", "La Jetée", "Chris Marker", "1962"
"=67", "Andrei Rublev", "Andrei Tarkovsky", "1966"
"=67", "The Gleaners and I", "Agnès Varda", "2000"
"66", "Touki Bouki", "Djibril Diop Mambéty", "1973"
"=63", "Casablanca", "Michael Curtiz", "1942"
"=63", "GoodFellas", "Martin Scorsese", "1990"
"=63", "The Third Man", "Carol Reed", "1949"
"=60", "Daughters of the Dust", "Julie Dash", "1991"
"=60", "La dolce vita", "Federico Fellini", "1960"
"=60", "Moonlight", "Barry Jenkins", "2016"
"59", "Sans Soleil", "Chris Marker", "1982"
"=54", "Battleship Potemkin", "Sergei Eisenstein", "1925"
"=54", "Blade Runner", "Ridley Scott", "1982"
"=54", "Le Mépris", "Jean-Luc Godard", "1963"
"=54", "Sherlock Jr.", "Buster Keaton", "1924"
"=54", "The Apartment", "Billy Wilder", "1960"
"=52", "Fear Eats the Soul", "Rainer Werner Fassbinder", "1974"
"=52", "News from Home", "Chantal Akerman", "1976"
"=50", "The Piano", "Jane Campion", "1992"
"=50", "The 400 Blows", "François Truffaut", "1959"
"=48", "Ordet", "Carl Theodor Dreyer", "1955"
"=48", "Wanda", "Barbara Loden", "1970"
"=45", "Barry Lyndon", "Stanley Kubrick", "1975"
"=45", "The Battle of Algiers", "Gillo Pontecorvo", "1966"
"=45", "North by Northwest", "Alfred Hitchcock", "1959"
"=43", "Killer of Sheep", "Charles Burnett", "1977"
"=43", "Stalker", "Andrei Tarkovsky", "1979"
"=41", "Bicycle Thieves", "Vittorio De Sica", "1948"
"=41", "Rashomon", "Kurosawa Akira", "1950"
"=38", "À bout de souffle", "Jean-Luc Godard", "1960"
"=38", "Some Like It Hot", "Billy Wilder", "1959"
"=38", "Rear Window", "Alfred Hitchcock", "1954"
"=36", "M", "Fritz Lang", "1931"
"=36", "City Lights", "Charles Chaplin", "1931"
"35", "Pather Panchali", "Satyajit Ray", "1955"
"34", "L’Atalante", "Jean Vigo", "1934"
"=31", "8½", "Federico Fellini", "1963"
"=31", "Mirror", "Andrei Tarkovsky", "1975"
"=31", "Psycho", "Alfred Hitchcock", "1960"
"30", "Portrait of a Lady on Fire", "Céline Sciamma", "2019"
"29", "Taxi Driver", "Martin Scorsese", "1976"
"28", "Daisies", "Věra Chytilová", "1966"
"27", "Shoah", "Claude Lanzmann", "1985"
"=25", "Au hasard Balthazar", "Robert Bresson", "1966"
"=25", "The Night of the Hunter", "Charles Laughton", "1955"
"24", "Do the Right Thing", "Spike Lee", "1989"
"23", "Playtime", "Jacques Tati", "1967"
"=21", "Late Spring", "Ozu Yasujirō", "1949"
"=21", "The Passion of Joan of Arc", "Carl Theodor Dreyer", "1927"
"20", "Seven Samurai", "Kurosawa Akira", "1954"
"19", "Apocalypse Now", "Francis Ford Coppola", "1979"
"18", "Persona", "Ingmar Bergman", "1966"
"17", "Close-up", "Abbas Kiarostami", "1989"
"16", "Meshes of the Afternoon", "Maya Deren", "1943"
"15", "The Searchers", "John Ford", "1956"
"14", "Cléo from 5 to 7", "Agnès Varda", "1962"
"13", "La Règle du jeu", "Jean Renoir", "1939"
"12", "The Godfather", "Francis Ford Coppola", "1972"
"11", "Sunrise: A Song of Two Humans", "F.W. Murnau", "1927"
"10", "Singin’ in the Rain", "Stanley Donen", "1951"
"9", "Man with a Movie Camera", "Dziga Vertov", "1929"
"8", "Mulholland Dr.", "David Lynch", "2001"
"7", "Beau travail", "Claire Denis", "1998"
"6", "2001: A Space Odyssey", "Stanley Kubrick", "1968"
"5", "In the Mood for Love", "Wong Kar-wai", "2000"
"4", "Tokyo Story", "Ozu Yasujirō", "1953"
"3", "Citizen Kane", "Orson Welles", "1941"
"2", "Vertigo", "Alfred Hitchcock", "1958"
"1", "Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles", "Chantal Akerman", "1975"